glyph_id	text	unicode	source_unit	unit_kind
259	命	U+547D	命	fullwidth_single
260	實	U+5BE6	實	fullwidth_single
261	晶	U+6676	晶	fullwidth_single
262	羽	U+7FBD	羽	fullwidth_single
263	十	U+5341	十	fullwidth_single
264	字	U+5B57	字	fullwidth_single
265	鞭	U+97AD	鞭	fullwidth_single
266	天	U+5929	天	fullwidth_single
267	鑰	U+9470	鑰	fullwidth_single
268	傳	U+50B3	傳	fullwidth_single
269	送	U+9001	送	fullwidth_single
270	修	U+4FEE	修	fullwidth_single
271	理	U+7406	理	fullwidth_single
272	件	U+4EF6	件	fullwidth_single
273	冰	U+51B0	冰	fullwidth_single
274	11	U+0031 U+0031	11	halfwidth_pair
275	22	U+0032 U+0032	22	halfwidth_pair
276	布	U+5E03	布	fullwidth_single
277	衣	U+8863	衣	fullwidth_single
278	旅	U+65C5	旅	fullwidth_single
279	行	U+884C	行	fullwidth_single
280	裝	U+88DD	裝	fullwidth_single
281	披	U+62AB	披	fullwidth_single
282	體	U+9AD4	體	fullwidth_single
283	皮	U+76AE	皮	fullwidth_single
284	硬	U+786C	硬	fullwidth_single
285	夜	U+591C	夜	fullwidth_single
286	潛	U+6F5B	潛	fullwidth_single
287	服	U+670D	服	fullwidth_single
288	祕	U+7955	祕	fullwidth_single
289	狀	U+72C0	狀	fullwidth_single
290	鎖	U+9396	鎖	fullwidth_single
291	子	U+5B50	子	fullwidth_single
292	鱗	U+9C57	鱗	fullwidth_single
293	連	U+9023	連	fullwidth_single
294	合	U+5408	合	fullwidth_single
295	銀	U+9280	銀	fullwidth_single
296	重	U+91CD	重	fullwidth_single
297	袍	U+888D	袍	fullwidth_single
298	司	U+53F8	司	fullwidth_single
299	霧	U+9727	霧	fullwidth_single
300	道	U+9053	道	fullwidth_single
301	妖	U+5996	妖	fullwidth_single
302	殊	U+6B8A	殊	fullwidth_single
303	青	U+9752	青	fullwidth_single
304	色	U+8272	色	fullwidth_single
305	虛	U+865B	虛	fullwidth_single
306	無	U+7121	無	fullwidth_single
307	王	U+738B	王	fullwidth_single
308	藥	U+85E5	藥	fullwidth_single
309	草	U+8349	草	fullwidth_single
310	回	U+56DE	回	fullwidth_single
311	復	U+5FA9	復	fullwidth_single
312	劑	U+5291	劑	fullwidth_single
